MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
1.1108,41,4.47361,1.18472,1959,2.72083,37.82,-122.27,0.975
1.2475,52,4.075,1.14,1162,2.905,37.82,-122.27,1.042
1.6098,52,5.02146,1.00858,701,3.00858,37.82,-122.28,0.875
1.4113,52,4.29545,1.10455,576,2.61818,37.82,-122.28,0.831
1.5057,52,4.77992,1.11197,622,2.40154,37.82,-122.28,0.875
0.8172,52,6.10246,1.37295,728,2.98361,37.82,-122.28,0.853
1.2171,52,4.5625,1.12171,1074,3.53289,37.82,-122.28,0.803
2.5625,2,2.77193,0.754386,94,1.64912,37.82,-122.29,0.6
3.3929,52,5.99465,1.12834,554,2.96257,37.83,-122.29,0.757
6.1183,49,5.86957,1.26087,86,3.73913,37.82,-122.29,0.75
0.9011,50,6.22951,1.55738,377,3.09016,37.81,-122.29,0.861
1.191,52,7.69811,1.49057,521,3.27673,37.81,-122.3,0.761
2.5938,48,6.22556,1.36842,392,2.94737,37.81,-122.3,0.735
1.1667,52,5.40107,1.11765,604,3.22995,37.81,-122.3,0.784
0.8056,48,4.38253,1.06627,788,2.37349,37.81,-122.3,0.844
2.6094,52,6.98639,1.65986,492,3.34694,37.8,-122.29,0.813
1.8516,52,6.97561,1.32927,274,3.34146,37.81,-122.3,0.85
0.9802,46,4.58429,1.05401,1823,2.98363,37.81,-122.29,1.292
1.7719,26,6.04724,1.19685,392,3.08661,37.81,-122.29,0.825
0.7286,46,3.37545,1.0722,582,2.10108,37.81,-122.29,0.952
1.75,49,5.55263,1.34211,560,3.68421,37.81,-122.29,0.75
0.4999,46,1.71429,0.571429,18,2.57143,37.81,-122.29,0.675
2.483,20,6.2782,1.21053,290,2.18045,37.81,-122.29,1.375
0.9241,17,2.81777,1.05239,762,1.73576,37.81,-122.28,1.775
2.4464,36,5.72495,1.10413,1236,2.42829,37.81,-122.28,1.021
1.1111,19,5.83092,1.17391,721,3.48309,37.81,-122.28,1.083
0.8026,23,5.36923,1.15077,1054,3.24308,37.81,-122.29,1.125
2.0114,38,4.4129,1.13548,344,2.21935,37.8,-122.28,1.313
1.5,17,3.19723,1,609,2.10727,37.81,-122.28,1.625
1.1667,52,3.75,1,183,3.26786,37.81,-122.27,1.125
1.5208,52,3.90805,1.11494,200,2.29885,37.81,-122.28,1.125
0.8075,52,2.49032,1.05806,346,2.23226,37.81,-122.28,1.375
1.8088,35,5.60947,1.08876,467,2.76331,37.81,-122.28,1.188
2.4083,52,6.72174,1.24348,377,3.27826,37.81,-122.28,0.982
0.977,40,2.31579,1.18684,582,1.53158,37.81,-122.27,1.188
0.76,10,2.65152,1.05455,546,1.65455,37.81,-122.27,1.625
0.9722,10,2.69231,1.07692,125,3.20513,37.8,-122.27,1.375
1.2434,52,2.92941,0.917647,396,4.65882,37.8,-122.27,5.00001
2.0938,16,2.74586,1.08287,800,2.20994,37.8,-122.27,1.625
0.8668,52,2.44318,0.988636,904,10.2727,37.8,-122.28,1.375
0.75,52,2.82353,0.911765,191,5.61765,37.8,-122.28,1.625
2.6354,27,3.49338,1.14901,718,2.37748,37.79,-122.27,1.875
1.8477,39,3.67238,1.33405,1327,2.84154,37.8,-122.27,1.792
2.0096,36,2.29402,1.06629,3469,1.49333,37.8,-122.26,1.3
2.8345,31,3.89492,1.12797,2048,1.73559,37.82,-122.26,1.838
2.0062,29,3.68132,1.17582,202,2.21978,37.81,-122.26,1.25
1.2185,22,2.9456,1.016,2024,1.6192,37.82,-122.26,1.7
2.6104,37,3.70714,1.10714,1838,1.87551,37.82,-122.26,1.931
2.4912,29,3.7248,1.1312,2304,1.8432,37.81,-122.25,2.578
3.2177,28,3.87842,1.07081,2563,1.71209,37.81,-122.25,2.734
3.125,39,3.74561,1.0614,389,1.70614,37.81,-122.25,2.375
2.5795,52,3.5155,1.14356,895,1.46003,37.81,-122.25,3.5
2.8406,34,3.28172,1.06987,2689,1.50307,37.81,-122.26,3.357
4.9306,52,6.18443,0.922131,674,2.7623,37.82,-122.24,3.134
3.2727,52,4.44298,1.05702,709,1.55482,37.81,-122.24,2.685
3.1691,52,4.16588,1.09005,686,1.62559,37.81,-122.25,2.594
3.9,52,4.84819,1.04596,1444,2.01114,37.82,-122.24,2.757
3.9063,28,4.16085,1.06608,1520,1.89526,37.82,-122.25,2.25
5.0917,52,5.62846,1.14229,550,2.17391,37.82,-122.25,2.625
2.6429,32,3.72701,1.07436,1806,1.76712,37.82,-122.25,2.185
3.0233,26,3.25308,0.982744,1749,1.43714,37.82,-122.25,2.55
3.1484,52,4.57803,1.07707,939,1.80925,37.83,-122.25,2.241
3.4722,35,3.82227,1.01422,675,1.59953,37.83,-122.25,2.431
3.1429,52,4.39519,0.986254,534,1.83505,37.83,-122.25,2.316
2.4234,28,3.02348,1.05358,2558,1.54004,37.83,-122.25,2.185
3.0897,52,4.0405,1.06557,1786,1.72228,37.83,-122.25,2.341
5.8596,50,6.74263,1.06971,970,2.60054,37.84,-122.23,3.276
5.2868,47,6.54639,0.936082,1098,2.26392,37.84,-122.23,3.476
5.956,41,6.85106,1.07979,794,2.1117,37.83,-122.24,3.661
4.9643,37,7.10638,1.14894,98,2.08511,37.85,-122.24,3.35
6.3434,52,6.94789,1.01985,1061,2.63275,37.85,-122.23,3.736
5.1773,52,6.35856,1.03423,1177,2.12072,37.84,-122.24,3.895
7.2354,52,7.11717,0.99455,901,2.45504,37.85,-122.24,3.911
5.457,28,5.53033,1.09623,2031,2.12448,37.85,-122.22,3.373
7.5,50,6.12735,0.987474,1031,2.1524,37.84,-122.22,2.952
6.0194,44,5.73534,1,1358,2.27471,37.84,-122.21,2.923
7.5544,40,7.6315,1.03058,1616,2.47095,37.83,-122.21,4.115
6.0666,30,6.44606,1.00875,844,2.46064,37.84,-122.2,3.115
7.0548,34,6.125,0.987903,1140,2.29839,37.84,-122.21,3.259
11.6017,18,8.33505,1.08247,533,2.74742,37.84,-122.19,3.926
7.4882,35,6.46727,1.03837,1072,2.41986,37.84,-122.2,3.193
6.8976,34,6.61227,1.02872,1627,2.12402,37.83,-122.21,3.333
8.2049,28,6.97895,0.968421,463,2.43684,37.83,-122.19,3.352
8.401,26,7.53081,1.05687,542,2.56872,37.83,-122.2,3.512
6.8538,29,6.65799,1.00743,661,2.45725,37.83,-122.19,3.689
8.317,32,6.97719,1.0038,635,2.41445,37.82,-122.19,3.659
7.0175,37,6.98295,1.02841,420,2.38636,37.82,-122.2,3.667
6.3302,39,7.54,1.068,1265,2.53,37.82,-122.2,3.628
6.3624,30,5.61538,0.730769,126,2.42308,37.81,-122.18,4.833
7.0549,52,6.78571,0.951429,813,2.32286,37.82,-122.21,3.314
6.7851,45,6.95775,1.02347,1067,2.50469,37.81,-122.2,3.235
2.8929,50,5.13225,1.09601,1260,2.28261,37.8,-122.21,2.167
3.0812,38,4.62834,1.09856,951,1.95277,37.8,-122.21,2.331
5.2402,52,6.20089,0.946429,510,2.27679,37.81,-122.21,2.964
6.5217,52,6.39935,1.08766,765,2.48377,37.81,-122.22,2.737
3.2632,52,4.74565,1.01087,1129,2.45435,37.8,-122.22,2.277
3.0298,52,5.18367,1.05215,1073,2.43311,37.8,-122.22,1.996
4.5428,52,5.2835,1.05049,1185,2.30097,37.8,-122.22,2.398
4.072,52,5.95294,0.997059,756,2.22353,37.81,-122.22,2.701
5.3509,52,5.65067,1.02879,1034,1.98464,37.81,-122.22,3.021
3.1603,52,4.42919,1.05882,787,1.7146,37.8,-122.23,2.695
4.7708,52,6.7277,1.07512,612,2.87324,37.81,-122.23,3.147
8.1564,52,7.70263,1.05789,1021,2.68684,37.81,-122.22,3.901
8.8793,52,8.97287,1.13178,861,3.33721,37.81,-122.23,4.103
6.8591,52,7.59939,0.957187,953,2.91437,37.81,-122.24,3.524
6.0302,52,5.82031,0.929688,634,2.47656,37.81,-122.24,2.873
7.508,52,7.99432,1.03693,878,2.49432,37.81,-122.23,3.487
2.7477,52,4.33333,1.13872,918,1.90062,37.81,-122.24,2.438
2.1944,52,5.07429,0.96,360,2.05714,37.8,-122.24,2.115
3.0149,52,4.27664,1.04508,1197,2.45287,37.8,-122.25,2.184
3.675,52,4.85135,0.969112,1048,2.02317,37.81,-122.24,2.699
3.225,46,4.32664,1.1178,1373,1.83802,37.81,-122.25,2.188
2.9345,42,4.05911,1.04926,1715,1.68966,37.8,-122.25,2.25
2.1429,43,3.27424,1.09695,1359,1.88227,37.8,-122.25,2.5
1.6121,41,3.56174,1.13559,1062,2.57143,37.8,-122.25,1.714
1.3929,29,3.19276,1.11772,1335,1.72704,37.8,-122.25,1.938
2.3173,27,3.8042,1.14685,1171,2.7296,37.79,-122.24,1.25
1.7772,45,3.88261,1.14348,1475,3.20652,37.79,-122.25,0.975
2.6458,50,3.20918,0.959184,742,3.78571,37.79,-122.25,1.25
2.181,52,3.68871,1.07713,1086,2.99174,37.79,-122.25,1.388
2.2303,36,3.09024,1.11602,1645,3.02947,37.8,-122.25,1.167
1.6504,43,3.63975,1.00466,1710,2.65528,37.8,-122.25,1.518
2.2697,52,4.36842,1,731,3.20614,37.8,-122.24,1.27
2.1563,52,4.58501,1.07493,1118,3.2219,37.8,-122.24,1.286
2.1348,52,4.73433,1.18806,1006,3.00299,37.8,-122.24,1.406
2.6292,47,3.69314,1.06137,1213,2.18953,37.8,-122.24,1.827
2.3833,52,4.63813,1.12451,772,3.00389,37.8,-122.23,1.469
2.957,52,4.49626,1.04738,1321,3.29426,37.8,-122.24,1.228
2.5238,49,4.19202,1.10635,1487,2.19645,37.8,-122.24,1.693
1.9375,52,4.20968,0.989247,488,2.62366,37.8,-122.23,1.266
1.9028,51,4.05612,1.05612,949,2.42092,37.8,-122.23,1.279
2.25,50,4.20723,1.15663,1149,2.76867,37.8,-122.23,1.235
2.3929,52,4.47143,1.06786,844,3.01429,37.8,-122.23,1.119
2.1917,43,4.84403,1.0918,4367,3.54752,37.79,-122.23,1.128
2.9357,52,4.32767,0.958738,1659,4.0267,37.79,-122.23,1.079
1.8854,30,3.79848,1.0038,1011,3.84411,37.79,-122.23,1.375
2.1638,39,3.77635,1.10797,1464,3.7635,37.79,-122.24,1.055
2.125,47,4.52805,1.30363,1237,4.08251,37.79,-122.24,0.955
3.375,52,4.0119,1.07143,647,3.85119,37.79,-122.24,1.161
2.2542,43,4.55462,1.05322,1284,3.59664,37.79,-122.24,1.122
2.1,51,3.18182,0.781818,228,4.14545,37.79,-122.25,0.75
1.6,39,3.74797,1.04878,381,3.09756,37.79,-122.25,1.125
3.625,52,3.97357,1.04405,846,3.72687,37.79,-122.25,1.25
1.6929,20,3.51036,1.15237,1659,2.45414,37.8,-122.26,1.15
1.6471,52,2.83333,0.927536,520,3.76812,37.77,-122.22,0.95
2.59,52,4.38996,1.16216,866,3.34363,37.77,-122.22,0.964
2.57,52,4.20219,1.12568,612,3.34426,37.77,-122.23,0.72
2.6429,52,3.74603,1.15873,415,3.29365,37.78,-122.23,0.713
3.0257,52,4.04695,1.00939,994,4.66667,37.78,-122.23,0.808
1.4886,50,4.02516,1.11111,1525,3.19706,37.78,-122.22,1.288
1.9338,43,3.24201,1.07763,1506,3.43836,37.78,-122.23,1.125
1.4844,52,3.86667,1.01176,1008,3.95294,37.78,-122.23,1.194
1.6009,44,3.11585,1.09854,2813,3.74567,37.78,-122.23,1.181
2.0375,48,4.94461,1.15452,1481,4.31778,37.79,-122.23,1.225
2.293,49,5.3653,0.990868,859,3.92237,37.79,-122.23,1.063
2.1494,37,4.47992,1.09751,1608,3.07457,37.79,-122.22,1.325
1.6198,30,4.35714,1.03571,425,3.03571,37.79,-122.23,1.227
1.3281,40,5.05435,1.08152,564,3.06522,37.79,-122.23,1.133
3.5156,44,5.46691,1.15441,961,3.53309,37.79,-122.22,1.095
3.9048,52,4.99854,1.0073,2273,3.31825,37.79,-122.22,1.647
3.0893,52,3.90769,0.974359,600,3.07692,37.79,-122.21,1.25
2.6042,46,4.48956,1.09108,1647,3.12524,37.79,-122.22,1.247
2.5,49,4.3066,1.06132,1201,2.83255,37.79,-122.22,1.367
2.7969,38,4.62671,1.07891,2167,3.28832,37.79,-122.22,1.417
2.8321,29,4.82353,1.10588,939,2.76176,37.79,-122.2,1.5
2.9583,47,5.28425,1.05137,859,2.94178,37.79,-122.21,1.388
2.8365,34,4.5814,1.07946,1517,2.93992,37.79,-122.21,1.392
2.875,35,4.52073,1.05959,1143,2.96114,37.79,-122.21,1.438
3.0682,39,4.31681,1.07759,1109,2.39009,37.8,-122.21,1.565
3.0757,39,4.52466,1.00224,1221,2.73767,37.8,-122.21,1.51
4.9559,43,6.69231,1.0967,1115,2.45055,37.8,-122.2,2.73
4.7721,52,5.77239,1.09328,706,2.63433,37.8,-122.2,2.171
3.4861,52,4.98442,1.00708,1883,2.66714,37.8,-122.21,1.871
5.1184,41,6.08824,1.04118,804,2.36471,37.8,-122.2,2.396
4.0977,48,5.24206,1.04365,506,2.00794,37.8,-122.21,2.297
4.744,48,7.11765,1.08824,610,2.56303,37.8,-122.19,2.573
4.2727,46,5.83735,1.02711,768,2.31325,37.8,-122.19,2.469
2.9844,50,5.26087,1.05978,462,2.51087,37.79,-122.19,1.799
4.1739,40,4.51064,1.08936,667,2.8383,37.79,-122.2,1.696
3.8487,46,5.11529,1.01504,1059,2.65414,37.8,-122.2,2.033
4.0114,52,6.54513,0.978339,637,2.29964,37.8,-122.19,2.634
4.6563,45,5.98678,0.993392,1106,2.43612,37.79,-122.19,2.318
2.9297,28,4.69955,1.13752,1737,2.59641,37.79,-122.19,1.405
2.3036,35,4.62051,1.17692,1009,2.58718,37.79,-122.2,1.26
2.6667,49,4.2,0.928571,737,3.50952,37.79,-122.2,1.22
2.619,44,3.30143,0.92057,1354,2.75764,37.79,-122.2,1.347
2.4167,45,4.46203,1.12447,1530,3.22785,37.79,-122.21,1.394
2.7788,45,4.21042,1.1,1410,2.9375,37.79,-122.2,1.154
2.7352,46,3.93497,0.892794,1390,2.44288,37.78,-122.21,1.373
1.8472,52,5.49071,1.11524,1065,3.95911,37.78,-122.21,1.37
2.6583,52,4.3102,0.914286,792,3.23265,37.78,-122.21,1.426
3.0536,49,3.66531,0.995918,779,3.17959,37.78,-122.21,1.375
2.3906,44,4.86557,1.16393,2269,3.71967,37.78,-122.22,1.117
1.7188,43,4.18182,1.13022,1227,3.01474,37.78,-122.21,1.268
2.625,47,3.6556,1.02905,753,3.12448,37.78,-122.21,1.113
2.8015,40,3.65926,0.844444,547,4.05185,37.77,-122.22,1.148
1.7276,50,4.03636,1.075,1807,4.10682,37.78,-122.22,1.023
2.0801,44,3.3899,1.03838,1700,3.43434,37.78,-122.22,1.319
2.489,51,4.16539,1.17812,1543,3.92621,37.78,-122.22,1.191
1.7546,52,4.73333,1.04667,1085,3.61667,37.76,-122.21,0.806
4.0904,52,4.31387,1.26277,353,2.57664,37.77,-122.21,0.806
2.6765,52,5,1.02685,473,3.1745,37.77,-122.21,0.888
2.4338,49,4.70393,1.03106,1621,3.35611,37.77,-122.2,1.024
2.3309,46,3.48588,1.05932,1183,3.34181,37.77,-122.21,0.987
2.2604,43,3.67148,1.18412,836,3.01805,37.77,-122.21,1
1.8039,42,3.54373,0.965779,900,3.42205,37.77,-122.19,0.923
2.2562,39,5.00745,1.11173,1888,3.51583,37.77,-122.2,0.948
2.0562,41,4.53666,1.21701,1024,3.00293,37.77,-122.2,1.02
3.5398,52,5.43735,1.04728,1225,2.89598,37.78,-122.2,1.584
3.1167,39,4.65957,1.06117,1071,2.8484,37.78,-122.2,1.216
2.5401,50,4.93915,1.06614,1128,2.98413,37.78,-122.2,1.291
2.898,43,5.02066,1.03719,1537,3.17562,37.77,-122.2,1.214
2.3125,44,4.39949,1.05344,1240,3.15522,37.78,-122.21,1.028
2.875,52,6.10714,1.07143,469,2.79167,37.78,-122.19,1.6
3.3715,52,5.10588,1.00706,1086,2.55529,37.77,-122.19,1.439
3.5114,52,5.58513,1.06715,1144,2.74341,37.77,-122.19,1.512
4.3125,52,6.64533,1.10667,1109,2.95733,37.78,-122.19,1.644
3.22,52,5.95664,1.07588,984,2.66667,37.78,-122.19,1.565
3.875,33,3.02128,0.659574,575,12.234,37.78,-122.18,2.25
5.2328,49,5.66029,0.980861,496,2.37321,37.78,-122.19,1.742
3.7262,52,5.63158,1.01579,555,2.92105,37.78,-122.19,1.669
4.5893,45,5.40061,1.01529,869,2.65749,37.78,-122.2,1.635
5.2578,39,5.82075,0.896226,236,2.22642,37.79,-122.18,2.53
7.0875,41,6.59346,1.08879,626,2.92523,37.79,-122.18,2.407
3.9712,46,6.41033,1.17629,922,2.80243,37.79,-122.18,2.081
2.9514,47,4.80078,0.949219,582,2.27344,37.79,-122.19,1.981
2.6667,50,4.74627,1.0796,546,2.71642,37.79,-122.19,1.728
5.4446,37,6.17669,0.984962,620,2.33083,37.81,-122.18,3.367
6.2838,34,6.94872,1,442,2.26667,37.8,-122.18,3.182
6.7527,23,7.06402,1.02439,955,2.91159,37.8,-122.18,2.858
7.0712,24,7.58951,0.978395,916,2.82716,37.77,-122.13,2.93
5.9849,22,6.52872,1.04118,4985,2.53432,37.79,-122.16,3.71
3.6875,42,5.70787,0.973783,651,2.4382,37.78,-122.17,1.573
2.875,30,4.73115,1.06117,1704,2.4239,37.77,-122.17,1.353
3.4205,43,4.87715,1.08108,1085,2.66585,37.78,-122.18,1.367
3.2984,50,5.78169,1.1338,713,2.51056,37.78,-122.18,1.607
3.875,49,4.9337,0.977901,468,2.58564,37.78,-122.17,1.406
4.175,52,5.39669,1.05785,296,2.44628,37.78,-122.17,1.44
4.375,47,5.76147,0.995413,570,2.61468,37.77,-122.16,1.619
4.7708,48,5.42778,1.07778,446,2.47778,37.77,-122.16,1.563
3.5739,45,6.05208,1.03385,968,2.52083,37.77,-122.16,1.76
3.0958,39,5.00949,1.10443,857,2.71203,37.77,-122.16,1.458
3.3958,39,5.00621,1.06211,912,2.8323,37.77,-122.17,1.419
1.871,31,5.36283,1.1792,1360,3.00885,37.77,-122.17,0.907
1.9356,41,4.49014,1.0338,1074,3.02535,37.76,-122.17,0.906
2.1842,47,5.5445,1.08115,965,2.52618,37.76,-122.17,1.079
2.2917,37,4.92188,1.11875,933,2.91562,37.76,-122.18,1.07
2.4333,38,4.98305,1.12147,987,2.78814,37.76,-122.17,0.982
1.9479,50,4.8252,1.06098,907,3.68699,37.76,-122.18,0.895
3.9063,52,4.5697,1.06061,447,2.70909,37.76,-122.18,0.938
1.8407,49,5.11752,1.00222,1299,2.88027,37.76,-122.18,0.967
2.0786,27,5.78981,1.50318,396,2.52229,37.77,-122.18,0.975
2.8125,42,4.40299,0.958955,877,3.27239,37.77,-122.18,0.973
1.8913,43,5.49864,1.11172,1111,3.02725,37.76,-122.18,0.912
1.7056,49,5.0855,1.04833,790,2.9368,37.76,-122.19,0.914
2.2768,52,4.95307,0.987365,1479,2.66968,37.77,-122.18,0.962
3.2552,51,4.8105,1.07534,1173,2.67808,37.77,-122.18,1.201
2.0556,52,4.77596,0.989071,1029,2.81148,37.77,-122.18,1
2.4659,52,5.78286,1.11714,1030,2.94286,37.76,-122.19,0.947
1.75,47,4,0.928315,826,2.96057,37.76,-122.2,0.857
2.0469,41,4.48458,1.12335,1412,3.11013,37.77,-122.19,0.893
2.7159,45,5.30659,1.12607,1132,3.24355,37.77,-122.19,1.014
1.2083,41,5.79245,1.30189,522,3.28302,37.76,-122.19,0.725
1.925,45,4.19831,1.00422,630,2.65823,37.76,-122.19,0.741
1.5809,36,4.55639,0.992481,531,3.99248,37.75,-122.2,0.7
1.4097,37,4.01799,1.10345,1925,2.88606,37.76,-122.2,0.846
0.7683,38,4.25356,1.05413,1144,3.25926,37.76,-122.19,0.818
1.3194,19,4.24423,1.08654,1481,2.84808,37.75,-122.19,0.814
0.8012,28,5.28395,1.16667,435,2.68519,37.75,-122.19,0.818
1.9479,26,4.26733,0.980198,984,3.24752,37.76,-122.19,0.858
1.1765,36,5.32704,1.33333,567,3.56604,37.74,-122.19,0.871
2.3456,42,4.39837,1.25203,380,3.08943,37.74,-122.18,0.835
2.1538,44,4.36885,1.03689,825,3.38115,37.73,-122.19,0.797
2.5139,43,4.56129,0.948387,417,2.69032,37.74,-122.19,0.834
1.2625,45,5.32404,1.01394,801,2.79094,37.73,-122.19,0.847
2.9063,42,4.59091,1.08586,646,3.26263,37.73,-122.18,0.8
2.5192,43,4.8807,1.02807,855,3,37.73,-122.18,0.764
2.1111,44,4.02941,0.875,435,3.19853,37.73,-122.18,0.797
2.455,42,5.22308,1.12051,2736,3.50769,37.73,-122.18,0.824
2.4028,41,3.89614,1.07488,1481,3.57729,37.74,-122.17,0.977
2.15,47,3.37956,0.978102,327,2.38686,37.74,-122.17,0.972
2.4776,43,4.56983,1.07821,494,2.75978,37.74,-122.17,1.016
2.1587,43,4.31965,1.08798,1231,3.60997,37.73,-122.17,0.865
1.8438,35,4.62385,1.15596,323,2.9633,37.74,-122.18,0.905
3.0298,46,4.56,1.00444,749,3.32889,37.74,-122.17,1.076
2.25,46,4.32022,1.02809,693,3.89326,37.74,-122.17,0.842
2.2467,46,5.94068,1.10452,1339,3.78249,37.74,-122.18,0.889
4.0469,45,4.125,0.95,282,3.525,37.75,-122.18,0.807
1.325,46,4.82564,1.11795,621,3.18462,37.75,-122.18,0.871
1.6196,38,3.83012,1.07722,732,2.82625,37.75,-122.17,0.851
2.1731,45,3.80769,1.00385,901,3.46538,37.75,-122.18,0.82
1.9167,36,7.50667,1.75333,482,3.21333,37.75,-122.19,0.828
2.069,43,4.86385,1.0939,652,3.06103,37.75,-122.18,0.846
1.712,36,6.30723,1.28916,651,3.92169,37.75,-122.18,0.821
2.5625,33,4.47552,1.07343,999,3.49301,37.76,-122.17,0.893
1.9821,43,5.18627,1.04575,907,2.96405,37.75,-122.17,0.983
2.5043,41,5.46522,1.17826,828,3.6,37.75,-122.17,0.923
2.3281,44,4.79528,0.976378,763,3.00394,37.75,-122.17,0.888
1.4375,48,5.01719,1.11748,935,2.67908,37.75,-122.17,0.9
2.5122,45,4.75,1.06198,1437,2.96901,37.76,-122.16,0.955
1.5625,38,5.09751,1.29461,1516,3.14523,37.75,-122.16,0.917
3.1587,47,5.39459,1.14054,597,3.22703,37.75,-122.17,1.004
1.8426,40,4.9269,1.00292,949,2.77485,37.76,-122.17,0.948
4.6696,46,6.04967,1.01656,881,2.91722,37.76,-122.16,1.643
2.4598,36,5.35838,1.10597,1438,2.77071,37.76,-122.16,1.555
6.0749,39,6.75185,1.05926,763,2.82593,37.76,-122.15,1.969
4.8304,27,6.27887,1.02817,1297,3.65352,37.77,-122.14,2.791
5.5701,34,7.17062,1.09479,545,2.58294,37.76,-122.14,2.528
5.37,26,6.12758,0.921201,1222,2.29268,37.76,-122.13,2.754
6.86,33,8.26027,1.19178,808,3.6895,37.75,-122.12,2.5
7.6923,28,7.2844,1.01835,329,3.01835,37.75,-122.12,3.298
4.0313,36,6.33028,0.963303,299,2.74312,37.75,-122.14,1.955
6.8323,33,6.60396,0.990099,579,2.86634,37.75,-122.14,2.559
4.975,30,8.28,1.08,137,2.74,37.75,-122.13,3.111
5.3602,36,8.25806,1,229,2.46237,37.75,-122.13,3.3
5,41,6.79012,1.02778,1476,2.27778,37.74,-122.13,2.489
2.925,46,6.19481,1.04545,429,2.78571,37.75,-122.16,1.429
3.8913,40,5.66667,1.00392,849,3.32941,37.75,-122.15,1.263
3.225,44,5.85498,1.20544,946,2.85801,37.75,-122.15,1.358
3.1458,41,4.48168,0.931937,571,2.98953,37.74,-122.15,1.306
2.537,24,4.63731,1.17617,1137,2.9456,37.75,-122.16,1.079
2.5568,44,4.57037,0.97037,378,2.8,37.75,-122.16,1.111
3.5083,43,5.08456,1.01103,853,3.13603,37.74,-122.15,1.22
