linha,parte
459,treino
460,teste
461,treino
462,treino
463,validacao
464,teste
465,treino
466,treino
467,treino
468,teste
469,treino
470,treino
471,treino
472,teste
473,treino
474,teste
475,treino
476,treino
477,teste
478,treino
479,treino
480,treino
481,teste
482,treino
483,treino
484,validacao
485,treino
486,treino
487,teste
488,treino
489,treino
490,treino
491,teste
492,treino
493,validacao
494,treino
495,treino
496,treino
497,treino
498,treino
499,treino
500,treino
501,teste
502,validacao
503,treino
504,treino
505,treino
506,treino
507,treino
508,teste
509,validacao
510,treino
511,teste
512,teste
513,treino
514,validacao
515,teste
516,treino
517,validacao
518,validacao
519,teste
520,treino
521,treino
522,teste
523,validacao
524,treino
525,teste
526,validacao
527,treino
528,validacao
529,treino
530,treino
531,treino
532,treino
533,treino
534,treino
535,teste
536,treino
537,treino
538,treino
539,treino
540,validacao
541,validacao
542,treino
543,treino
544,treino
545,treino
546,teste
547,treino
548,treino
549,treino
550,teste
551,treino
552,treino
553,treino
554,treino
555,treino
556,treino
557,teste
558,treino
559,treino
560,validacao
561,treino
562,treino
563,treino
564,treino
565,treino
566,validacao
567,treino
568,teste
569,validacao
570,teste
571,treino
572,teste
573,treino
574,treino
575,treino
576,treino
577,treino
578,teste
579,validacao
580,treino
581,treino
582,treino
583,treino
584,treino
585,treino
586,validacao
587,validacao
588,treino
589,validacao
590,treino
591,treino
592,teste
593,teste
594,treino
595,validacao
596,treino
597,treino
598,treino
599,teste
600,teste
601,treino
602,teste
603,teste
604,validacao
605,treino
606,treino
607,teste
608,treino
609,treino
610,validacao
611,treino
612,treino
613,treino
614,teste
615,teste
616,teste
617,treino
618,validacao
619,validacao
620,validacao
621,treino
622,treino
623,treino
624,treino
625,treino
626,treino
627,treino
628,validacao
629,validacao
630,treino
631,validacao
632,validacao
633,treino
634,treino
635,treino
636,validacao
637,treino
638,teste
639,validacao
640,treino
641,treino
642,treino
643,treino
644,treino
645,treino
646,treino
647,validacao
648,validacao
649,treino
650,treino
651,teste
652,teste
653,treino
654,treino
655,treino
656,treino
657,teste
658,teste
659,treino
660,treino
661,validacao
662,treino
663,treino
664,treino
665,treino
666,treino
667,treino
668,treino
669,treino
670,teste
671,validacao
672,treino
673,validacao
674,teste
675,validacao
676,validacao
677,treino
678,treino
679,treino
680,teste
681,validacao
682,treino
683,treino
684,teste
685,treino
686,treino
687,treino
688,teste
689,treino
690,teste
691,teste
692,treino
693,validacao
694,treino
695,teste
696,treino
697,treino
698,treino
699,teste
700,teste
701,teste
702,treino
703,treino
704,treino
705,teste
706,validacao
707,treino
708,teste
709,treino
710,validacao
711,validacao
712,treino
713,teste
714,treino
715,treino
716,teste
717,treino
718,treino
719,treino
720,teste
721,treino
722,treino
723,validacao
724,treino
725,treino
726,validacao
727,treino
728,treino
729,teste
730,validacao
731,teste
732,validacao
733,treino
734,validacao
735,validacao
736,treino
737,validacao
738,treino
739,treino
740,treino
741,teste
742,teste
743,treino
744,validacao
745,treino
746,treino
747,validacao
748,treino
749,treino
750,treino
751,treino
752,treino
753,treino
754,treino
755,treino
756,treino
757,treino
758,treino
759,validacao
760,validacao
761,treino
762,treino
763,validacao
764,validacao
765,treino
766,treino
767,treino
768,treino
769,teste
770,treino
771,treino
772,teste
773,teste
774,teste
775,teste
776,teste
777,validacao
778,treino
779,treino
780,treino
781,treino
782,treino
783,treino
784,treino
785,validacao
786,treino
787,treino
788,treino
789,validacao
790,validacao
791,validacao
792,treino
793,treino
794,treino
795,teste
796,treino
797,treino
798,treino
799,treino
800,treino
801,validacao
802,treino
803,teste
804,teste
805,treino
806,validacao
807,treino
808,treino
809,validacao
810,teste
811,treino
812,treino
813,treino
814,treino
815,treino
816,treino
817,teste
818,treino
819,treino
820,treino
821,teste
822,treino
823,validacao
824,treino
825,treino
826,treino
827,teste
828,treino
829,treino
830,teste
831,treino
832,treino
833,treino
834,treino
835,treino
836,treino
837,teste
838,validacao
839,treino
840,validacao
841,treino
842,validacao
843,teste
844,teste
845,treino
846,treino
847,treino
848,treino
849,treino
850,treino
851,treino
852,teste
853,validacao
854,teste
855,treino
856,teste
857,validacao
858,treino
859,treino
860,treino
861,treino
862,treino
863,treino
864,teste
865,treino
866,treino
867,treino
868,teste
869,treino
870,treino
871,teste
872,teste
873,validacao
874,treino
875,teste
876,treino
877,validacao
878,validacao
879,teste
880,teste
881,teste
882,validacao
883,treino
884,treino
885,treino
886,teste
887,teste
888,treino
889,validacao
890,validacao
891,validacao
892,teste
893,treino
894,treino
895,teste
896,treino
897,treino
898,teste
899,treino
900,validacao
901,treino
902,treino
903,treino
904,treino
905,teste
906,validacao
907,treino
908,treino
909,treino
910,treino
911,treino
912,teste
913,treino
914,treino
915,validacao
916,validacao
917,treino
918,treino
919,teste
920,treino
921,treino
922,validacao
923,teste
924,treino
925,treino
926,treino
927,treino
928,treino
929,treino
930,validacao
931,teste
932,treino
933,treino
934,treino
935,teste
936,treino
937,treino
938,treino
939,treino
940,treino
941,treino
942,treino
943,treino
944,treino
945,treino
946,treino
947,validacao
948,teste
949,treino
950,treino
951,teste
952,validacao
953,validacao
954,teste
955,treino
956,teste
957,treino
958,teste
959,treino
960,teste
961,treino
962,treino
963,treino
964,teste
965,validacao
966,treino
967,validacao
968,validacao
969,treino
970,treino
971,teste
972,treino
973,treino
974,treino
975,treino
976,treino
977,treino
978,treino
979,treino
980,treino
981,treino
982,treino
983,treino
984,validacao
985,teste
986,validacao
987,validacao
988,treino
989,treino
990,teste
991,teste
992,validacao
993,validacao
994,validacao
995,treino
996,treino
997,treino
998,treino
999,treino
1000,treino
1001,treino
1002,validacao
1003,teste
1004,treino
1005,teste
1006,treino
1007,validacao
1008,treino
1009,teste
1010,treino
1011,treino
1012,teste
1013,treino
1014,treino
1015,teste
1016,treino
1017,teste
1018,treino
1019,validacao
1020,validacao
1021,treino
1022,teste
1023,teste
1024,treino
1025,treino
1026,validacao
1027,teste
1028,validacao
1029,treino
1030,validacao
1031,treino
1032,teste
1033,treino
1034,teste
1035,teste
1036,treino
1037,validacao
1038,validacao
1039,teste
1040,treino
1041,treino
1042,treino
1043,treino
1044,treino
1045,treino
1046,validacao
1047,treino
1048,validacao
1049,validacao
1050,treino
1051,teste
1052,teste
1053,teste
1054,validacao
1055,teste
1056,teste
1057,teste
1058,treino
1059,teste
1060,treino
1061,teste
1062,treino
1063,treino
1064,treino
1065,treino
1066,treino
1067,treino
1068,treino
1069,validacao
1070,teste
1071,treino
1072,treino
1073,treino
1074,treino
1075,treino
1076,treino
1077,treino
1078,treino
1079,treino
1080,treino
1081,treino
1082,treino
1083,treino
1084,validacao
1085,teste
1086,validacao
1087,teste
1088,treino
1089,treino
1090,treino
1091,validacao
1092,teste
1093,validacao
1094,teste
1095,treino
1096,treino
1097,validacao
1098,treino
1099,treino
1100,treino
1101,treino
1102,treino
1103,treino
1104,treino
1105,teste
1106,validacao
1107,teste
1108,validacao
1109,treino
1110,validacao
1111,teste
1112,treino
1113,validacao
1114,teste
1115,validacao
1116,teste
1117,treino
1118,validacao
1119,validacao
1120,treino
1121,treino
1122,treino
1123,treino
1124,treino
1125,treino
1126,treino
1127,treino
1128,validacao
1129,teste
1130,treino
1131,treino
1132,validacao
1133,treino
1134,treino
1135,validacao
1136,validacao
1137,teste
1138,validacao
1139,treino
1140,treino
1141,validacao
1142,treino
1143,validacao
1144,treino
1145,treino
1146,teste
1147,teste
1148,treino
1149,teste
1150,treino
1151,teste
1152,treino
1153,validacao
1154,validacao
1155,validacao
1156,treino
1157,treino
1158,treino
1159,validacao
1160,validacao
1161,treino
1162,validacao
1163,treino
1164,treino
1165,validacao
1166,treino
1167,treino
1168,teste
1169,teste
1170,treino
1171,treino
1172,treino
1173,validacao
1174,teste
1175,validacao
1176,teste
1177,validacao
1178,treino
1179,teste
1180,teste
1181,treino
1182,validacao
1183,treino
1184,validacao
1185,validacao
1186,validacao
1187,validacao
1188,treino
1189,treino
1190,treino
1191,treino
1192,treino
1193,treino
1194,treino
1195,treino
1196,treino
1197,teste
1198,teste
1199,treino
1200,treino
1201,teste
1202,treino
1203,treino
1204,teste
1205,teste
1206,treino
1207,treino
1208,teste
1209,treino
1210,teste
1211,treino
1212,validacao
1213,treino
1214,treino
1215,teste
1216,treino
1217,treino
1218,teste
1219,treino
1220,treino
1221,treino
1222,treino
1223,teste
1224,teste
1225,treino
1226,treino
1227,treino
1228,treino
1229,validacao
1230,validacao
1231,treino
1232,teste
1233,treino
1234,treino
1235,teste
1236,treino
1237,treino
1238,teste
1239,treino
1240,treino
1241,validacao
1242,validacao
1243,treino
1244,validacao
1245,treino
1246,validacao
1247,treino
1248,treino
1249,treino
1250,validacao
1251,treino
1252,validacao
1253,treino
1254,treino
1255,treino
1256,treino
1257,treino
1258,validacao
1259,treino
1260,validacao
1261,treino
1262,treino
1263,teste
1264,validacao
1265,validacao
1266,treino
1267,teste
1268,validacao
1269,teste
1270,teste
1271,treino
1272,teste
1273,treino
1274,validacao
1275,teste
1276,validacao
1277,validacao
1278,validacao
1279,teste
1280,teste
1281,treino
1282,treino
1283,treino
1284,validacao
1285,treino
1286,treino
1287,treino
1288,treino
1289,treino
1290,validacao
1291,treino
1292,validacao
1293,validacao
1294,treino
1295,treino
1296,validacao
1297,validacao
1298,teste
1299,treino
1300,teste
1301,treino
1302,validacao
1303,validacao
1304,treino
1305,treino
1306,teste
1307,teste
1308,treino
1309,teste
1310,teste
1311,treino
1312,treino
1313,teste
1314,validacao
1315,validacao
1316,treino
1317,treino
1318,validacao
1319,validacao
1320,treino
1321,treino
1322,treino
1323,treino
1324,treino
1325,treino
1326,validacao
1327,treino
1328,teste
1329,treino
1330,validacao
1331,treino
1332,treino
1333,teste
1334,treino
1335,teste
1336,validacao
1337,teste
1338,treino
1339,treino
1340,treino
1341,validacao
1342,treino
1343,treino
1344,teste
1345,validacao
1346,treino
1347,validacao
1348,validacao
1349,validacao
1350,treino
1351,treino
1352,validacao
1353,treino
1354,validacao
1355,treino
1356,treino
1357,teste
1358,treino
1359,treino
1360,treino
1361,treino
1362,treino
1363,treino
1364,treino
1365,treino
1366,treino
1367,treino
1368,treino
1369,teste
1370,teste
1371,treino
1372,validacao
1373,teste
1374,teste
1375,validacao
1376,treino
1377,treino
1378,validacao
1379,treino
1380,treino
1381,treino
1382,teste
1383,treino
1384,teste
1385,treino
1386,treino
1387,validacao
1388,validacao
1389,treino
1390,treino
1391,teste
1392,treino
1393,treino
1394,validacao
1395,treino
1396,treino
1397,teste
1398,treino
1399,treino
1400,validacao
1401,treino
1402,treino
1403,teste
1404,treino
1405,treino
1406,teste
1407,treino
1408,treino
1409,validacao
1410,treino
1411,teste
1412,teste
1413,treino
1414,validacao
1415,teste
1416,teste
1417,treino
1418,validacao
1419,validacao
1420,treino
1421,treino
1422,treino
1423,treino
1424,treino
1425,treino
1426,treino
1427,treino
1428,treino
1429,teste
1430,teste
1431,teste
1432,treino
1433,teste
1434,treino
1435,validacao
1436,validacao
1437,treino
1438,treino
1439,treino
1440,treino
1441,treino
1442,treino
1443,validacao
1444,treino
1445,validacao
1446,teste
1447,treino
1448,validacao
1449,treino
1450,treino
1451,teste
1452,teste
1453,validacao
1454,treino
1455,teste
1456,teste
1457,treino
1458,treino
1459,treino
1460,treino
1461,teste
1462,treino
1463,treino
1464,teste
1465,treino
1466,treino
1467,treino
1468,teste
1469,validacao
1470,treino
1471,treino
1472,treino
1473,treino
1474,teste
1475,teste
1476,treino
1477,treino
1478,validacao
1479,treino
1480,treino
1481,treino
1482,teste
1483,validacao
1484,validacao
1485,treino
1486,treino
1487,treino
1488,treino
1489,validacao
1490,treino
1491,treino
1492,treino
1493,teste
1494,teste
1495,treino
1496,validacao
1497,teste
1498,treino
1499,treino
1500,teste
1501,teste
1502,treino
1503,treino
1504,treino
1505,validacao
1506,treino
1507,validacao
1508,validacao
1509,treino
1510,treino
1511,teste
1512,teste
1513,validacao
1514,validacao
1515,treino
1516,treino
1517,treino
1518,teste
1519,validacao
1520,treino
1521,treino
1522,treino
1523,treino
1524,validacao
1525,treino
1526,teste
1527,treino
1528,treino
1529,treino
1530,teste
1531,treino
1532,treino
1533,teste
1534,validacao
1535,validacao
1536,treino
1537,validacao
1538,treino
1539,validacao
1540,treino
1541,teste
1542,treino
1543,treino
1544,treino
1545,treino
1546,treino
1547,treino
1548,treino
1549,teste
1550,teste
1551,teste
1552,teste
1553,treino
1554,teste
1555,treino
1556,validacao
1557,treino
1558,treino
1559,treino
1560,treino
1561,treino
1562,validacao
1563,validacao
1564,teste
1565,treino
1566,treino
1567,treino
1568,treino
1569,validacao
1570,validacao
1571,teste
1572,teste
1573,teste
1574,validacao
1575,treino
1576,teste
1577,treino
1578,validacao
1579,treino
1580,treino
1581,treino
1582,treino
1583,treino
1584,validacao
1585,treino
1586,treino
1587,validacao
1588,treino
1589,treino
1590,treino
1591,treino
1592,treino
1593,treino
1594,treino
1595,teste
1596,validacao
1597,treino
1598,teste
1599,treino
1600,treino
1601,treino
1602,treino
1603,treino
1604,validacao
1605,treino
1606,treino
1607,treino
1608,validacao
1609,treino
1610,treino
1611,validacao
1612,treino
1613,treino
1614,treino
1615,treino
1616,validacao
1617,teste
1618,treino
1619,treino
1620,validacao
1621,treino
1622,validacao
1623,teste
1624,treino
1625,validacao
1626,teste
1627,validacao
1628,treino
1629,treino
1630,treino
1631,teste
1632,treino
1633,teste
1634,teste
1635,treino
1636,treino
1637,teste
1638,treino
1639,treino
1640,treino
1641,treino
1642,treino
1643,treino
1644,validacao
1645,treino
1646,treino
1647,treino
1648,treino
1649,treino
1650,treino
1651,treino
1652,treino
1653,treino
1654,treino
1655,treino
1656,validacao
1657,treino
1658,treino
1659,validacao
1660,treino
1661,treino
1662,teste
1663,validacao
1664,validacao
1665,treino
1666,validacao
1667,treino
1668,teste
1669,treino
1670,teste
1671,treino
1672,treino
1673,teste
1674,teste
1675,teste
1676,treino
1677,treino
1678,treino
1679,treino
1680,teste
1681,validacao
1682,teste
1683,treino
1684,validacao
1685,validacao
1686,treino
1687,treino
1688,treino
1689,validacao
1690,validacao
1691,treino
1692,treino
1693,validacao
1694,teste
1695,treino
1696,treino
1697,teste
1698,treino
1699,treino
1700,treino
1701,treino
1702,treino
1703,treino
1704,validacao
1705,treino
1706,treino
1707,teste
1708,treino
1709,validacao
1710,validacao
1711,treino
1712,treino
1713,treino
1714,teste
1715,validacao
1716,treino
1717,validacao
1718,treino
1719,treino
1720,validacao
1721,treino
1722,treino
1723,validacao
1724,treino
1725,treino
1726,validacao
1727,teste
1728,teste
1729,teste
1730,treino
1731,treino
1732,treino
1733,treino
1734,treino
1735,treino
1736,treino
1737,validacao
1738,treino
1739,teste
1740,teste
1741,treino
1742,teste
1743,treino
1744,teste
1745,teste
1746,treino
1747,teste
1748,treino
1749,teste
1750,validacao
1751,teste
1752,treino
1753,validacao
1754,treino
1755,validacao
1756,treino
1757,treino
1758,treino
1759,treino
1760,treino
1761,teste
1762,treino
1763,teste
1764,treino
1765,treino
1766,treino
1767,treino
1768,treino
1769,treino
1770,validacao
1771,treino
1772,validacao
1773,teste
1774,treino
1775,teste
1776,treino
1777,treino
1778,treino
1779,treino
1780,treino
1781,treino
1782,validacao
1783,treino
1784,treino
1785,treino
1786,treino
1787,treino
1788,treino
1789,treino
1790,validacao
1791,treino
1792,treino
1793,treino
1794,treino
1795,treino
1796,treino
1797,treino
1798,treino
1799,teste
1800,validacao
1801,teste
1802,validacao
1803,teste
1804,validacao
1805,treino
1806,teste
1807,validacao
1808,treino
1809,validacao
1810,validacao
1811,treino
1812,validacao
1813,treino
1814,validacao
1815,treino
1816,treino
1817,teste
1818,treino
1819,teste
1820,treino
1821,treino
1822,treino
1823,treino
1824,teste
1825,treino
1826,treino
1827,treino
1828,treino
1829,treino
1830,treino
1831,treino
1832,treino
1833,teste
1834,treino
1835,treino
1836,treino
1837,treino
1838,validacao
1839,treino
1840,teste
1841,treino
1842,treino
1843,validacao
1844,teste
1845,validacao
1846,teste
1847,validacao
1848,validacao
1849,treino
1850,validacao
1851,teste
1852,validacao
1853,validacao
1854,treino
1855,treino
1856,teste
1857,treino
1858,teste
1859,treino
1860,teste
1861,validacao
1862,treino
1863,teste
1864,teste
1865,treino
1866,treino
1867,validacao
1868,treino
1869,treino
1870,validacao
1871,treino
1872,treino
1873,treino
1874,teste
1875,treino
1876,validacao
1877,treino
1878,treino
1879,treino
1880,treino
1881,treino
1882,treino
1883,treino
1884,treino
1885,treino
1886,validacao
1887,treino
1888,treino
1889,treino
1890,treino
1891,treino
1892,validacao
1893,treino
1894,treino
1895,validacao
1896,treino
1897,validacao
1898,treino
1899,validacao
1900,treino
1901,validacao
1902,treino
1903,treino
1904,treino
1905,treino
1906,validacao
1907,teste
1908,teste
1909,treino
1910,treino
1911,treino
1912,validacao
1913,teste
1914,treino
1915,treino
1916,treino
1917,teste
1918,treino
1919,treino
1920,treino
1921,validacao
1922,teste
1923,treino
1924,teste
1925,treino
1926,treino
1927,treino
1928,teste
1929,teste
1930,treino
1931,teste
1932,treino
1933,treino
1934,treino
1935,teste
1936,treino
1937,treino
1938,treino
1939,treino
1940,validacao
1941,treino
1942,treino
1943,treino
1944,treino
1945,treino
1946,validacao
1947,treino
1948,treino
1949,treino
1950,teste
1951,teste
1952,validacao
1953,validacao
1954,treino
1955,treino
1956,treino
1957,teste
1958,treino
1959,treino
1960,teste
1961,treino
1962,teste
1963,teste
1964,treino
1965,treino
1966,validacao
1967,validacao
1968,treino
1969,treino
1970,treino
1971,treino
1972,treino
1973,treino
1974,validacao
1975,validacao
1976,treino
1977,validacao
1978,treino
1979,teste
1980,treino
1981,teste
1982,treino
1983,validacao
1984,teste
1985,validacao
1986,teste
1987,teste
1988,validacao
1989,validacao
1990,treino
1991,treino
1992,treino
1993,validacao
1994,validacao
1995,treino
1996,teste
1997,treino
1998,treino
1999,treino
2000,validacao
2001,treino
2002,teste
2003,treino
2004,treino
2005,treino
2006,treino
2007,treino
2008,validacao
2009,teste
2010,treino
2011,teste
2012,treino
2013,teste
2014,treino
2015,teste
2016,validacao
2017,validacao
2018,treino
2019,treino
2020,validacao
2021,validacao
2022,treino
2023,treino
2024,validacao
2025,teste
2026,teste
2027,treino
2028,validacao
2029,treino
2030,teste
2031,validacao
2032,treino
2033,treino
2034,treino
2035,treino
2036,treino
2037,treino
2038,treino
2039,treino
2040,treino
2041,treino
2042,validacao
2043,validacao
2044,treino
2045,validacao
2046,treino
2047,treino
2048,treino
2049,treino
2050,treino
2051,teste
2052,teste
2053,treino
2054,teste
2055,validacao
2056,treino
2057,teste
2058,treino
2059,teste
2060,treino
2061,validacao
2062,treino
2063,teste
2064,teste
2065,treino
2066,validacao
2067,treino
2068,teste
2069,treino
2070,treino
2071,treino
2072,treino
2073,validacao
2074,validacao
2075,treino
2076,treino
2077,treino
2078,treino
2079,validacao
2080,treino
2081,treino
2082,treino
2083,teste
2084,treino
2085,treino
2086,teste
2087,teste
2088,treino
2089,treino
2090,treino
2091,treino
2092,validacao
2093,treino
2094,treino
2095,treino
2096,treino
2097,treino
2098,treino
2099,teste
2100,validacao
2101,validacao
2102,validacao
2103,treino
2104,treino
2105,treino
2106,treino
2107,validacao
2108,validacao
2109,treino
2110,treino
2111,treino
2112,validacao
2113,treino
2114,teste
2115,validacao
2116,validacao
2117,teste
2118,treino
2119,treino
2120,treino
2121,validacao
2122,treino
2123,treino
2124,validacao
2125,teste
2126,validacao
2127,treino
2128,treino
2129,treino
2130,validacao
2131,treino
2132,treino
2133,treino
2134,treino
2135,teste
2136,treino
2137,treino
2138,treino
2139,treino
2140,treino
2141,teste
2142,treino
2143,treino
2144,treino
2145,validacao
2146,teste
2147,treino
2148,teste
2149,treino
2150,validacao
2151,treino
2152,validacao
2153,validacao
2154,validacao
2155,treino
2156,treino
2157,treino
2158,teste
2159,treino
2160,treino
2161,teste
2162,treino
2163,treino
2164,treino
2165,validacao
2166,validacao
2167,teste
2168,teste
2169,validacao
2170,treino
2171,validacao
2172,validacao
2173,treino
2174,treino
2175,teste
2176,treino
2177,treino
2178,teste
2179,teste
2180,treino
2181,treino
2182,validacao
2183,treino
2184,treino
2185,treino
2186,treino
2187,validacao
2188,treino
2189,validacao
2190,treino
2191,treino
2192,teste
2193,validacao
2194,validacao
2195,validacao
2196,treino
2197,validacao
2198,treino
2199,treino
2200,treino
2201,validacao
2202,validacao
2203,validacao
2204,treino
2205,validacao
2206,treino
2207,treino
2208,treino
2209,teste
2210,treino
2211,treino
2212,teste
2213,treino
2214,treino
2215,treino
2216,validacao
2217,treino
2218,treino
2219,teste
2220,treino
2221,treino
2222,teste
2223,treino
2224,validacao
2225,teste
2226,teste
2227,treino
2228,treino
2229,teste
2230,teste
2231,validacao
2232,treino
2233,treino
2234,treino
2235,treino
2236,treino
2237,treino
2238,validacao
2239,teste
2240,teste
2241,treino
2242,treino
2243,validacao
2244,validacao
2245,validacao
2246,treino
2247,treino
2248,treino
2249,validacao
2250,validacao
2251,treino
2252,treino
2253,treino
2254,treino
2255,treino
2256,treino
2257,treino
2258,treino
2259,teste
2260,teste
2261,treino
2262,teste
2263,treino
2264,treino
2265,validacao
2266,treino
2267,validacao
2268,treino
2269,validacao
2270,treino
2271,teste
2272,teste
2273,treino
2274,treino
2275,treino
2276,treino
2277,treino
2278,validacao
2279,treino
2280,validacao
2281,treino
2282,treino
2283,teste
2284,treino
2285,treino
2286,treino
2287,treino
2288,teste
2289,validacao
2290,treino
2291,treino
2292,teste
2293,treino
2294,teste
2295,treino
2296,teste
2297,treino
2298,validacao
2299,teste
2300,treino
2301,teste
2302,treino
2303,teste
2304,teste
2305,validacao
2306,treino
2307,treino
2308,treino
2309,treino
2310,treino
2311,validacao
2312,treino
2313,treino
2314,treino
2315,teste
2316,treino
2317,treino
2318,validacao
2319,validacao
2320,treino
2321,treino
2322,treino
2323,treino
2324,validacao
2325,treino
2326,validacao
2327,teste
2328,treino
2329,treino
2330,treino
2331,teste
2332,teste
2333,validacao
2334,treino
2335,treino
2336,treino
2337,treino
2338,validacao
2339,treino
2340,treino
2341,treino
2342,teste
2343,treino
2344,teste
2345,treino
2346,treino
2347,treino
2348,teste
2349,treino
2350,treino
2351,treino
2352,treino
2353,teste
2354,treino
2355,validacao
2356,treino
2357,treino
2358,treino
2359,treino
2360,treino
2361,treino
2362,validacao
2363,treino
2364,treino
2365,treino
2366,treino
2367,teste
2368,teste
2369,teste
2370,treino
2371,treino
2372,treino
2373,treino
2374,validacao
2375,teste
2376,teste
2377,treino
2378,validacao
2379,treino
2380,treino
2381,treino
2382,validacao
2383,treino
2384,treino
2385,teste
2386,treino
2387,validacao
2388,validacao
2389,treino
2390,treino
2391,treino
2392,treino
2393,validacao
2394,teste
2395,treino
2396,treino
2397,treino
2398,teste
2399,treino
2400,validacao
2401,teste
2402,teste
2403,treino
2404,treino
2405,teste
2406,validacao
2407,treino
2408,treino
2409,treino
2410,treino
2411,treino
2412,teste
2413,treino
2414,treino
2415,treino
2416,treino
2417,validacao
2418,treino
